"TIME","GEO","AGE","UNIT","SEX","INDIC_EM","Value"
"2009","Slovenia","From 15 to 24 years","Percentage of total population","Total","Total employment (resident population concept - LFS)","35.3"
"2009","Slovakia","From 15 to 24 years","Percentage of total population","Total","Total employment (resident population concept - LFS)","22.8"
"2009","Finland","From 15 to 24 years","Percentage of total population","Total","Total employment (resident population concept - LFS)","39.6"
"2009","Sweden","From 15 to 24 years","Percentage of total population","Total","Total employment (resident population concept - LFS)","38.3"
"2009","United Kingdom","From 15 to 24 years","Percentage of total population","Total","Total employment (resident population concept - LFS)","47.9"
"2009","Iceland","From 15 to 24 years","Percentage of total population","Total","Total employment (resident population concept - LFS)","61.5"
"2009","Norway","From 15 to 24 years","Percentage of total population","Total","Total employment (resident population concept - LFS)","52.6"
"2009","Switzerland","From 15 to 24 years","Percentage of total population","Total","Total employment (resident population concept - LFS)",":"
"2009","Turkey","From 15 to 24 years","Percentage of total population","Total","Total employment (resident population concept - LFS)","28.9"
"2010","European Union - 28 countries","From 15 to 24 years","Percentage of total population","Total","Total employment (resident population concept - LFS)","33.8"
"2010","Belgium","From 15 to 24 years","Percentage of total population","Total","Total employment (resident population concept - LFS)","25.2"
"2010","Bulgaria","From 15 to 24 years","Percentage of total population","Total","Total employment (resident population concept - LFS)","24.3"
"2010","Czechia","From 15 to 24 years","Percentage of total population","Total","Total employment (resident population concept - LFS)","25.2"
"2010","Denmark","From 15 to 24 years","Percentage of total population","Total","Total employment (resident population concept - LFS)","58.1"
"2010","Germany (until 1990 former territory of the FRG)","From 15 to 24 years","Percentage of total population","Total","Total employment (resident population concept - LFS)","46.2"
"2010","Estonia","From 15 to 24 years","Percentage of total population","Total","Total employment (resident population concept - LFS)","25.3"
"2010","Ireland","From 15 to 24 years","Percentage of total population","Total","Total employment (resident population concept - LFS)","38.7"
"2010","Greece","From 15 to 24 years","Percentage of total population","Total","Total employment (resident population concept - LFS)","20.1"
"2010","Spain","From 15 to 24 years","Percentage of total population","Total","Total employment (resident population concept - LFS)","25.0"
"2010","France","From 15 to 24 years","Percentage of total population","Total","Total employment (resident population concept - LFS)",":"
"2010","Croatia","From 15 to 24 years","Percentage of total population","Total","Total employment (resident population concept - LFS)","24.2"
"2010","Italy","From 15 to 24 years","Percentage of total population","Total","Total employment (resident population concept - LFS)","20.2"
"2010","Latvia","From 15 to 24 years","Percentage of total population","Total","Total employment (resident population concept - LFS)","25.4"
"2010","Lithuania","From 15 to 24 years","Percentage of total population","Total","Total employment (resident population concept - LFS)","18.3"
"2010","Luxembourg","From 15 to 24 years","Percentage of total population","Total","Total employment (resident population concept - LFS)","21.2"
"2010","Hungary","From 15 to 24 years","Percentage of total population","Total","Total employment (resident population concept - LFS)","18.3"
"2010","Netherlands","From 15 to 24 years","Percentage of total population","Total","Total employment (resident population concept - LFS)","60.7"
"2010","Austria","From 15 to 24 years","Percentage of total population","Total","Total employment (resident population concept - LFS)","52.8"
"2010","Poland","From 15 to 24 years","Percentage of total population","Total","Total employment (resident population concept - LFS)","26.4"
"2010","Portugal","From 15 to 24 years","Percentage of total population","Total","Total employment (resident population concept - LFS)","27.9"
"2010","Romania","From 15 to 24 years","Percentage of total population","Total","Total employment (resident population concept - LFS)","24.3"
"2010","Slovenia","From 15 to 24 years","Percentage of total population","Total","Total employment (resident population concept - LFS)","34.1"
"2010","Slovakia","From 15 to 24 years","Percentage of total population","Total","Total employment (resident population concept - LFS)","20.6"
"2010","Finland","From 15 to 24 years","Percentage of total population","Total","Total employment (resident population concept - LFS)","38.8"
"2010","Sweden","From 15 to 24 years","Percentage of total population","Total","Total employment (resident population concept - LFS)","38.8"
"2010","United Kingdom","From 15 to 24 years","Percentage of total population","Total","Total employment (resident population concept - LFS)","46.8"
"2010","Iceland","From 15 to 24 years","Percentage of total population","Total","Total employment (resident population concept - LFS)","61.7"
"2010","Norway","From 15 to 24 years","Percentage of total population","Total","Total employment (resident population concept - LFS)","51.4"
"2010","Switzerland","From 15 to 24 years","Percentage of total population","Total","Total employment (resident population concept - LFS)","62.5"
"2010","Turkey","From 15 to 24 years","Percentage of total population","Total","Total employment (resident population concept - LFS)","30.0"
"2011","European Union - 28 countries","From 15 to 24 years","Percentage of total population","Total","Total employment (resident population concept - LFS)","33.3"
"2011","Belgium","From 15 to 24 years","Percentage of total population","Total","Total employment (resident population concept - LFS)","26.0"
"2011","Bulgaria","From 15 to 24 years","Percentage of total population","Total","Total employment (resident population concept - LFS)","22.1"
"2011","Czechia","From 15 to 24 years","Percentage of total population","Total","Total employment (resident population concept - LFS)","24.5"
"2011","Denmark","From 15 to 24 years","Percentage of total population","Total","Total employment (resident population concept - LFS)","57.5"
"2011","Germany (until 1990 former territory of the FRG)","From 15 to 24 years","Percentage of total population","Total","Total employment (resident population concept - LFS)","47.9"
"2011","Estonia","From 15 to 24 years","Percentage of total population","Total","Total employment (resident population concept - LFS)","31.1"
"2011","Ireland","From 15 to 24 years","Percentage of total population","Total","Total employment (resident population concept - LFS)","36.2"
"2011","Greece","From 15 to 24 years","Percentage of total population","Total","Total employment (resident population concept - LFS)","16.1"
"2011","Spain","From 15 to 24 years","Percentage of total population","Total","Total employment (resident population concept - LFS)","22.0"
"2011","France","From 15 to 24 years","Percentage of total population","Total","Total employment (resident population concept - LFS)",":"
"2011","Croatia","From 15 to 24 years","Percentage of total population","Total","Total employment (resident population concept - LFS)","20.6"
"2011","Italy","From 15 to 24 years","Percentage of total population","Total","Total employment (resident population concept - LFS)","19.2"
"2011","Latvia","From 15 to 24 years","Percentage of total population","Total","Total employment (resident population concept - LFS)","25.8"
"2011","Lithuania","From 15 to 24 years","Percentage of total population","Total","Total employment (resident population concept - LFS)","19.0"
"2011","Luxembourg","From 15 to 24 years","Percentage of total population","Total","Total employment (resident population concept - LFS)","20.7"
"2011","Hungary","From 15 to 24 years","Percentage of total population","Total","Total employment (resident population concept - LFS)","18.0"
"2011","Netherlands","From 15 to 24 years","Percentage of total population","Total","Total employment (resident population concept - LFS)","61.3"
"2011","Austria","From 15 to 24 years","Percentage of total population","Total","Total employment (resident population concept - LFS)","53.9"
"2011","Poland","From 15 to 24 years","Percentage of total population","Total","Total employment (resident population concept - LFS)","24.9"
"2011","Portugal","From 15 to 24 years","Percentage of total population","Total","Total employment (resident population concept - LFS)","26.6"
"2011","Romania","From 15 to 24 years","Percentage of total population","Total","Total employment (resident population concept - LFS)","23.4"
"2011","Slovenia","From 15 to 24 years","Percentage of total population","Total","Total employment (resident population concept - LFS)","31.5"
"2011","Slovakia","From 15 to 24 years","Percentage of total population","Total","Total employment (resident population concept - LFS)","20.0"
"2011","Finland","From 15 to 24 years","Percentage of total population","Total","Total employment (resident population concept - LFS)","40.4"
"2011","Sweden","From 15 to 24 years","Percentage of total population","Total","Total employment (resident population concept - LFS)","40.9"
"2011","United Kingdom","From 15 to 24 years","Percentage of total population","Total","Total employment (resident population concept - LFS)","45.8"
"2011","Iceland","From 15 to 24 years","Percentage of total population","Total","Total employment (resident population concept - LFS)","62.5"
"2011","Norway","From 15 to 24 years","Percentage of total population","Total","Total employment (resident population concept - LFS)","50.8"
"2011","Switzerland","From 15 to 24 years","Percentage of total population","Total","Total employment (resident population concept - LFS)","63.3"
"2011","Turkey","From 15 to 24 years","Percentage of total population","Total","Total employment (resident population concept - LFS)","32.0"
"2012","European Union - 28 countries","From 15 to 24 years","Percentage of total population","Total","Total employment (resident population concept - LFS)","32.6"
"2012","Belgium","From 15 to 24 years","Percentage of total population","Total","Total employment (resident population concept - LFS)","25.3"
"2012","Bulgaria","From 15 to 24 years","Percentage of total population","Total","Total employment (resident population concept - LFS)","21.9"
"2012","Czechia","From 15 to 24 years","Percentage of total population","Total","Total employment (resident population concept - LFS)","25.2"
"2012","Denmark","From 15 to 24 years","Percentage of total population","Total","Total employment (resident population concept - LFS)","55.0"
"2012","Germany (until 1990 former territory of the FRG)","From 15 to 24 years","Percentage of total population","Total","Total employment (resident population concept - LFS)","46.6"
"2012","Estonia","From 15 to 24 years","Percentage of total population","Total","Total employment (resident population concept - LFS)","32.3"
"2012","Ireland","From 15 to 24 years","Percentage of total population","Total","Total employment (resident population concept - LFS)","34.8"
"2012","Greece","From 15 to 24 years","Percentage of total population","Total","Total employment (resident population concept - LFS)","13.0"
"2012","Spain","From 15 to 24 years","Percentage of total population","Total","Total employment (resident population concept - LFS)","18.4"
"2012","France","From 15 to 24 years","Percentage of total population","Total","Total employment (resident population concept - LFS)",":"
"2012","Croatia","From 15 to 24 years","Percentage of total population","Total","Total employment (resident population concept - LFS)","17.4"
"2012","Italy","From 15 to 24 years","Percentage of total population","Total","Total employment (resident population concept - LFS)","18.5"
"2012","Latvia","From 15 to 24 years","Percentage of total population","Total","Total employment (resident population concept - LFS)","28.7"
"2012","Lithuania","From 15 to 24 years","Percentage of total population","Total","Total employment (resident population concept - LFS)","21.5"
"2012","Luxembourg","From 15 to 24 years","Percentage of total population","Total","Total employment (resident population concept - LFS)","21.7"
"2012","Hungary","From 15 to 24 years","Percentage of total population","Total","Total employment (resident population concept - LFS)","18.4"
"2012","Netherlands","From 15 to 24 years","Percentage of total population","Total","Total employment (resident population concept - LFS)","61.1"
"2012","Austria","From 15 to 24 years","Percentage of total population","Total","Total employment (resident population concept - LFS)","53.7"
"2012","Poland","From 15 to 24 years","Percentage of total population","Total","Total employment (resident population concept - LFS)","24.7"
"2012","Portugal","From 15 to 24 years","Percentage of total population","Total","Total employment (resident population concept - LFS)","23.0"
"2012","Romania","From 15 to 24 years","Percentage of total population","Total","Total employment (resident population concept - LFS)","23.7"
"2012","Slovenia","From 15 to 24 years","Percentage of total population","Total","Total employment (resident population concept - LFS)","27.3"
"2012","Slovakia","From 15 to 24 years","Percentage of total population","Total","Total employment (resident population concept - LFS)","20.1"
"2012","Finland","From 15 to 24 years","Percentage of total population","Total","Total employment (resident population concept - LFS)","41.8"
"2012","Sweden","From 15 to 24 years","Percentage of total population","Total","Total employment (resident population concept - LFS)","40.2"
"2012","United Kingdom","From 15 to 24 years","Percentage of total population","Total","Total employment (resident population concept - LFS)","46.2"
"2012","Iceland","From 15 to 24 years","Percentage of total population","Total","Total employment (resident population concept - LFS)","65.4"
"2012","Norway","From 15 to 24 years","Percentage of total population","Total","Total employment (resident population concept - LFS)","52.2"
"2012","Switzerland","From 15 to 24 years","Percentage of total population","Total","Total employment (resident population concept - LFS)","62.0"
"2012","Turkey","From 15 to 24 years","Percentage of total population","Total","Total employment (resident population concept - LFS)","31.5"
"2013","European Union - 28 countries","From 15 to 24 years","Percentage of total population","Total","Total employment (resident population concept - LFS)","32.2"
"2013","Belgium","From 15 to 24 years","Percentage of total population","Total","Total employment (resident population concept - LFS)","23.6"
"2013","Bulgaria","From 15 to 24 years","Percentage of total population","Total","Total employment (resident population concept - LFS)","21.2"
"2013","Czechia","From 15 to 24 years","Percentage of total population","Total","Total employment (resident population concept - LFS)","25.6"
"2013","Denmark","From 15 to 24 years","Percentage of total population","Total","Total employment (resident population concept - LFS)","53.7"
"2013","Germany (until 1990 former territory of the FRG)","From 15 to 24 years","Percentage of total population","Total","Total employment (resident population concept - LFS)","46.9"
"2013","Estonia","From 15 to 24 years","Percentage of total population","Total","Total employment (resident population concept - LFS)","32.4"
"2013","Ireland","From 15 to 24 years","Percentage of total population","Total","Total employment (resident population concept - LFS)","36.6"
"2013","Greece","From 15 to 24 years","Percentage of total population","Total","Total employment (resident population concept - LFS)","11.8"
"2013","Spain","From 15 to 24 years","Percentage of total population","Total","Total employment (resident population concept - LFS)","16.8"
"2013","France","From 15 to 24 years","Percentage of total population","Total","Total employment (resident population concept - LFS)",":"
"2013","Croatia","From 15 to 24 years","Percentage of total population","Total","Total employment (resident population concept - LFS)","14.9"
"2013","Italy","From 15 to 24 years","Percentage of total population","Total","Total employment (resident population concept - LFS)","16.3"
"2013","Latvia","From 15 to 24 years","Percentage of total population","Total","Total employment (resident population concept - LFS)","30.2"
"2013","Lithuania","From 15 to 24 years","Percentage of total population","Total","Total employment (resident population concept - LFS)","24.6"
"2013","Luxembourg","From 15 to 24 years","Percentage of total population","Total","Total employment (resident population concept - LFS)","21.9"
"2013","Hungary","From 15 to 24 years","Percentage of total population","Total","Total employment (resident population concept - LFS)","20.1"
"2013","Netherlands","From 15 to 24 years","Percentage of total population","Total","Total employment (resident population concept - LFS)","60.1"
"2013","Austria","From 15 to 24 years","Percentage of total population","Total","Total employment (resident population concept - LFS)","53.1"
"2013","Poland","From 15 to 24 years","Percentage of total population","Total","Total employment (resident population concept - LFS)","24.2"
"2013","Portugal","From 15 to 24 years","Percentage of total population","Total","Total employment (resident population concept - LFS)","21.7"
"2013","Romania","From 15 to 24 years","Percentage of total population","Total","Total employment (resident population concept - LFS)","22.9"
"2013","Slovenia","From 15 to 24 years","Percentage of total population","Total","Total employment (resident population concept - LFS)","26.5"
"2013","Slovakia","From 15 to 24 years","Percentage of total population","Total","Total employment (resident population concept - LFS)","20.4"
"2013","Finland","From 15 to 24 years","Percentage of total population","Total","Total employment (resident population concept - LFS)","41.5"
"2013","Sweden","From 15 to 24 years","Percentage of total population","Total","Total employment (resident population concept - LFS)","41.7"
"2013","United Kingdom","From 15 to 24 years","Percentage of total population","Total","Total employment (resident population concept - LFS)","46.3"
"2013","Iceland","From 15 to 24 years","Percentage of total population","Total","Total employment (resident population concept - LFS)","69.7"
"2013","Norway","From 15 to 24 years","Percentage of total population","Total","Total employment (resident population concept - LFS)","51.8"
"2013","Switzerland","From 15 to 24 years","Percentage of total population","Total","Total employment (resident population concept - LFS)","62.1"
"2013","Turkey","From 15 to 24 years","Percentage of total population","Total","Total employment (resident population concept - LFS)","32.2"
"2014","European Union - 28 countries","From 15 to 24 years","Percentage of total population","Total","Total employment (resident population concept - LFS)","32.5"
"2014","Belgium","From 15 to 24 years","Percentage of total population","Total","Total employment (resident population concept - LFS)","23.2"
"2014","Bulgaria","From 15 to 24 years","Percentage of total population","Total","Total employment (resident population concept - LFS)","20.7"
"2014","Czechia","From 15 to 24 years","Percentage of total population","Total","Total employment (resident population concept - LFS)","27.1"
"2014","Denmark","From 15 to 24 years","Percentage of total population","Total","Total employment (resident population concept - LFS)","53.7"
"2014","Germany (until 1990 former territory of the FRG)","From 15 to 24 years","Percentage of total population","Total","Total employment (resident population concept - LFS)","46.1"
"2014","Estonia","From 15 to 24 years","Percentage of total population","Total","Total employment (resident population concept - LFS)","33.3"
"2014","Ireland","From 15 to 24 years","Percentage of total population","Total","Total employment (resident population concept - LFS)","36.8"
"2014","Greece","From 15 to 24 years","Percentage of total population","Total","Total employment (resident population concept - LFS)","13.3"
"2014","Spain","From 15 to 24 years","Percentage of total population","Total","Total employment (resident population concept - LFS)","16.7"
"2014","France","From 15 to 24 years","Percentage of total population","Total","Total employment (resident population concept - LFS)","27.6"
"2014","Croatia","From 15 to 24 years","Percentage of total population","Total","Total employment (resident population concept - LFS)","18.3"
"2014","Italy","From 15 to 24 years","Percentage of total population","Total","Total employment (resident population concept - LFS)","15.6"
"2014","Latvia","From 15 to 24 years","Percentage of total population","Total","Total employment (resident population concept - LFS)","32.5"
"2014","Lithuania","From 15 to 24 years","Percentage of total population","Total","Total employment (resident population concept - LFS)","27.6"
"2014","Luxembourg","From 15 to 24 years","Percentage of total population","Total","Total employment (resident population concept - LFS)","20.4"
"2014","Hungary","From 15 to 24 years","Percentage of total population","Total","Total employment (resident population concept - LFS)","23.5"
"2014","Netherlands","From 15 to 24 years","Percentage of total population","Total","Total employment (resident population concept - LFS)","58.8"
"2014","Austria","From 15 to 24 years","Percentage of total population","Total","Total employment (resident population concept - LFS)","52.1"
"2014","Poland","From 15 to 24 years","Percentage of total population","Total","Total employment (resident population concept - LFS)","25.8"
"2014","Portugal","From 15 to 24 years","Percentage of total population","Total","Total employment (resident population concept - LFS)","22.4"
"2014","Romania","From 15 to 24 years","Percentage of total population","Total","Total employment (resident population concept - LFS)","22.5"
"2014","Slovenia","From 15 to 24 years","Percentage of total population","Total","Total employment (resident population concept - LFS)","26.8"
"2014","Slovakia","From 15 to 24 years","Percentage of total population","Total","Total employment (resident population concept - LFS)","21.8"
"2014","Finland","From 15 to 24 years","Percentage of total population","Total","Total employment (resident population concept - LFS)","41.4"
"2014","Sweden","From 15 to 24 years","Percentage of total population","Total","Total employment (resident population concept - LFS)","42.8"
"2014","United Kingdom","From 15 to 24 years","Percentage of total population","Total","Total employment (resident population concept - LFS)","48.0"
"2014","Iceland","From 15 to 24 years","Percentage of total population","Total","Total employment (resident population concept - LFS)","70.5"
"2014","Norway","From 15 to 24 years","Percentage of total population","Total","Total employment (resident population concept - LFS)","50.1"
"2014","Switzerland","From 15 to 24 years","Percentage of total population","Total","Total employment (resident population concept - LFS)","62.1"
"2014","Turkey","From 15 to 24 years","Percentage of total population","Total","Total employment (resident population concept - LFS)","33.5"
"2015","European Union - 28 countries","From 15 to 24 years","Percentage of total population","Total","Total employment (resident population concept - LFS)","33.2"
"2015","Belgium","From 15 to 24 years","Percentage of total population","Total","Total employment (resident population concept - LFS)","23.4"
"2015","Bulgaria","From 15 to 24 years","Percentage of total population","Total","Total employment (resident population concept - LFS)","20.3"
"2015","Czechia","From 15 to 24 years","Percentage of total population","Total","Total employment (resident population concept - LFS)","28.4"
"2015","Denmark","From 15 to 24 years","Percentage of total population","Total","Total employment (resident population concept - LFS)","55.4"
"2015","Germany (until 1990 former territory of the FRG)","From 15 to 24 years","Percentage of total population","Total","Total employment (resident population concept - LFS)","45.3"
"2015","Estonia","From 15 to 24 years","Percentage of total population","Total","Total employment (resident population concept - LFS)","36.3"
"2015","Ireland","From 15 to 24 years","Percentage of total population","Total","Total employment (resident population concept - LFS)","37.8"
"2015","Greece","From 15 to 24 years","Percentage of total population","Total","Total employment (resident population concept - LFS)","13.0"
"2015","Spain","From 15 to 24 years","Percentage of total population","Total","Total employment (resident population concept - LFS)","17.9"
"2015","France","From 15 to 24 years","Percentage of total population","Total","Total employment (resident population concept - LFS)","27.9"
"2015","Croatia","From 15 to 24 years","Percentage of total population","Total","Total employment (resident population concept - LFS)","19.1"
"2015","Italy","From 15 to 24 years","Percentage of total population","Total","Total employment (resident population concept - LFS)","15.6"
"2015","Latvia","From 15 to 24 years","Percentage of total population","Total","Total employment (resident population concept - LFS)","34.5"
"2015","Lithuania","From 15 to 24 years","Percentage of total population","Total","Total employment (resident population concept - LFS)","28.3"
"2015","Luxembourg","From 15 to 24 years","Percentage of total population","Total","Total employment (resident population concept - LFS)","29.1"
"2015","Hungary","From 15 to 24 years","Percentage of total population","Total","Total employment (resident population concept - LFS)","25.7"
"2015","Netherlands","From 15 to 24 years","Percentage of total population","Total","Total employment (resident population concept - LFS)","60.8"
"2015","Austria","From 15 to 24 years","Percentage of total population","Total","Total employment (resident population concept - LFS)","51.3"
"2015","Poland","From 15 to 24 years","Percentage of total population","Total","Total employment (resident population concept - LFS)","26.0"
"2015","Portugal","From 15 to 24 years","Percentage of total population","Total","Total employment (resident population concept - LFS)","22.8"
"2015","Romania","From 15 to 24 years","Percentage of total population","Total","Total employment (resident population concept - LFS)","24.5"
"2015","Slovenia","From 15 to 24 years","Percentage of total population","Total","Total employment (resident population concept - LFS)","29.6"
"2015","Slovakia","From 15 to 24 years","Percentage of total population","Total","Total employment (resident population concept - LFS)","23.3"
"2015","Finland","From 15 to 24 years","Percentage of total population","Total","Total employment (resident population concept - LFS)","40.5"
"2015","Sweden","From 15 to 24 years","Percentage of total population","Total","Total employment (resident population concept - LFS)","43.9"
"2015","United Kingdom","From 15 to 24 years","Percentage of total population","Total","Total employment (resident population concept - LFS)","50.0"
"2015","Iceland","From 15 to 24 years","Percentage of total population","Total","Total employment (resident population concept - LFS)","73.1"
"2015","Norway","From 15 to 24 years","Percentage of total population","Total","Total employment (resident population concept - LFS)","50.4"
"2015","Switzerland","From 15 to 24 years","Percentage of total population","Total","Total employment (resident population concept - LFS)","61.6"
"2015","Turkey","From 15 to 24 years","Percentage of total population","Total","Total employment (resident population concept - LFS)","34.1"
"2016","European Union - 28 countries","From 15 to 24 years","Percentage of total population","Total","Total employment (resident population concept - LFS)","33.9"
"2016","Belgium","From 15 to 24 years","Percentage of total population","Total","Total employment (resident population concept - LFS)","22.7"
"2016","Bulgaria","From 15 to 24 years","Percentage of total population","Total","Total employment (resident population concept - LFS)","19.8"
"2016","Czechia","From 15 to 24 years","Percentage of total population","Total","Total employment (resident population concept - LFS)","28.6"
"2016","Denmark","From 15 to 24 years","Percentage of total population","Total","Total employment (resident population concept - LFS)","58.2"
"2016","Germany (until 1990 former territory of the FRG)","From 15 to 24 years","Percentage of total population","Total","Total employment (resident population concept - LFS)","45.7"
"2016","Estonia","From 15 to 24 years","Percentage of total population","Total","Total employment (resident population concept - LFS)","37.5"
"2016","Ireland","From 15 to 24 years","Percentage of total population","Total","Total employment (resident population concept - LFS)","42.0"
"2016","Greece","From 15 to 24 years","Percentage of total population","Total","Total employment (resident population concept - LFS)","13.0"
"2016","Spain","From 15 to 24 years","Percentage of total population","Total","Total employment (resident population concept - LFS)","18.4"
"2016","France","From 15 to 24 years","Percentage of total population","Total","Total employment (resident population concept - LFS)","27.8"
"2016","Croatia","From 15 to 24 years","Percentage of total population","Total","Total employment (resident population concept - LFS)","25.6"
"2016","Italy","From 15 to 24 years","Percentage of total population","Total","Total employment (resident population concept - LFS)","16.6"
"2016","Latvia","From 15 to 24 years","Percentage of total population","Total","Total employment (resident population concept - LFS)","32.8"
"2016","Lithuania","From 15 to 24 years","Percentage of total population","Total","Total employment (resident population concept - LFS)","30.2"
"2016","Luxembourg","From 15 to 24 years","Percentage of total population","Total","Total employment (resident population concept - LFS)","24.9"
"2016","Hungary","From 15 to 24 years","Percentage of total population","Total","Total employment (resident population concept - LFS)","28.1"
"2016","Netherlands","From 15 to 24 years","Percentage of total population","Total","Total employment (resident population concept - LFS)","60.8"
"2016","Austria","From 15 to 24 years","Percentage of total population","Total","Total employment (resident population concept - LFS)","51.0"
"2016","Poland","From 15 to 24 years","Percentage of total population","Total","Total employment (resident population concept - LFS)","28.4"
"2016","Portugal","From 15 to 24 years","Percentage of total population","Total","Total employment (resident population concept - LFS)","23.9"
"2016","Romania","From 15 to 24 years","Percentage of total population","Total","Total employment (resident population concept - LFS)","22.3"
